path_or_pattern,kind,immediate_origin,license_evidence,sha256,status
R/**,R source,"SelvarMix 1.2.1 lineage plus post-archive implementation","package DESCRIPTION: GPL (>= 3)",,"post-archive contributor attribution approval required"
src/**,native source,"SelvarMix 1.2.1 lineage plus post-archive implementation","package DESCRIPTION: GPL (>= 3)",,"post-archive contributor attribution approval required"
inst/include/**,installed native headers,"SelvarMix 1.2.1 lineage plus post-archive implementation","package DESCRIPTION: GPL (>= 3)",,"post-archive contributor attribution approval required"
man/**,documentation,"SelvarMix 1.2.1 lineage plus current package documentation","package DESCRIPTION: GPL (>= 3)",,"post-archive contributor attribution approval required"
vignettes/**,academic vignette,"current SelvarMixMNAR documentation","package DESCRIPTION: GPL (>= 3)",,"post-archive contributor attribution approval required"
README.md; NEWS.md,repository documentation,"current SelvarMixMNAR documentation","package DESCRIPTION: GPL (>= 3)",,"post-archive contributor attribution approval required"
inst/CITATION,citation metadata,"NeurIPS 2025 manuscript metadata","package DESCRIPTION: GPL (>= 3)",,"paper-author and bibliographic fields recorded explicitly"
inst/PROVENANCE.md; inst/provenance/**,release provenance,"current package audit evidence","package DESCRIPTION: GPL (>= 3)",,"machine-readable dependency, artifact, and CI records"
inst/provenance/repository_files.csv,per-file hash manifest,"current package audit evidence","package DESCRIPTION: GPL (>= 3)",,"per-file hashes are recorded in repository_files.csv; manifest excludes itself"
DESCRIPTION; NAMESPACE; .Rbuildignore,package metadata,"SelvarMix 1.2.1 lineage plus current package metadata","package DESCRIPTION: GPL (>= 3)",,"current authorship and maintainer approval required"
tests/**,test source,"SelvarMixMNAR verification suite","package DESCRIPTION: GPL (>= 3)",,"post-archive contributor attribution approval required"
.github/workflows/R-CMD-check.yaml,repository automation,"adapted from r-lib/actions v2 package-check examples","r-lib/actions examples: CC0",,"not included in the R source archive"
.github/workflows/sanitizers.yaml,repository automation,"adapted from the R-hub container GitHub Actions guide","R-hub container tooling: MIT",,"pinned R-hub image digest; not included in the R source archive"
.github/RELEASE_CHECKLIST.md; .gitignore; .gitattributes,repository support,"current SelvarMixMNAR release configuration","package DESCRIPTION: GPL (>= 3)",,"not included in the R source archive"
